sklad,harok,cislo,l,d,v
S1,h1,1,5.5,58,1.24
S1,h1,1,6.5,44,0.83
S1,h1,2,3,46,0.42
S1,h1,2,12,65,3.42
S1,h1,3,20,52,3.6
S1,h1,4,19,27,0.87
S1,h1,5,11,53,2.07
S1,h1,6,9,30,0.52
S1,h1,7,8,43,0.98
S1,h1,8,15,39,1.49
S1,h1,9,11,35,0.88
S1,h1,10,15,26,0.64
S1,h1,11,18,27,0.83
S1,h1,12,15,29,0.81
S1,h1,13,23,40,2.42
S1,h1,14,15,50,2.5
S1,h1,15,5,70,1.65
S1,h1,15,12,48,1.84
S1,h1,16,12,46,1.69
S1,h1,17,16,30,0.92
S1,h1,18,18,33,1.27
S1,h1,19,20,37,1.78
S1,h1,20,18,28,0.9
S1,h1,21,11,27,0.51
S1,h1,22,20,44,2.56
S1,h1,23,18,34,1.35
S1,h1,24,19,39,1.89
S1,h1,25,13,30,0.75
S1,h1,26,19,37,1.7
S1,h1,27,14,41,1.56
S1,h1,27,6,26,0.26
S1,h1,28,10,49,1.61
S1,h1,28,7,35,0.56
S1,h1,28,7,32,0.46
S1,h1,29,16,30,0.92
S1,h1,30,20,42,2.33
S1,h1,31,16,26,0.68
S1,h1,32,18,32,1.19
S1,h1,33,25,50,2.09
S1,h1,33,4,37,0.36
S1,h1,34,18,28,0.9
S1,h1,35,19,33,1.34
S1,h1,36,14,45,1.89
S1,h1,37,16,39,1.59
S1,h1,38,15,43,1.83
S1,h1,39,21,45,2.83
S1,h1,40,17,42,1.98
S1,h1,41,13,50,2.17
S1,h1,41,8,31,0.49
S1,h1,41,7,32,0.46
S1,h1,42,17,33,1.2
S1,h1,43,16,44,2.05
S1,h1,44,9,63,2.4
S1,h1,44,4,42,0.47
S1,h1,44,6,39,0.6
S1,h1,45,15,49,2.41
S1,h1,46,10.5,68,3.27
S1,h1,47,3,35,0.24
S1,h1,47,14,59,3.27
S1,h2,48,5.5,50,0.84
S1,h2,48,5.5,35,0.4
S1,h2,48,9,29,0.49
S1,h2,49,19,40,2
S1,h2,50,18.5,52,3.33
S1,h2,51,6,49,0.96
S1,h2,51,9,68,2.81
S1,h2,52,17,55,3.43
S1,h2,53,13,31,0.8
S1,h2,53,6,33,0.42
S1,h2,54,5,34,0.38
S1,h2,54,13,57,2.83
S1,h2,55,19,40,2
S1,h2,56,19,46,2.68
S1,h2,57,14,39,1.39
S1,h2,58,12,49,1.93
S1,h2,58,4,36,0.34
S1,h2,59,14.5,67,4.38
S1,h2,59,4,36,0.34
S1,h2,60,6,61,1.5
S1,h2,60,7,78,2.88
S1,h2,61,7.5,63,2
S1,h2,61,6,40,0.63
S1,h2,61,6,36,0.51
S1,h2,62,12,46,1.69
S1,h2,63,5.5,69,1.76
S1,h2,63,9,45,1.21
S1,h2,63,10,42,1.16
S1,h2,64,4,83,1.87
S1,h2,64,7,72,2.45
S1,h2,65,16,50,2.67
S1,h2,66,18,45,2.42
S1,h2,67,16,54,3.12
S1,h2,68,9,32,0.59
S1,h2,68,9,28,0.45
S1,h2,68,8.5,52,1.53
S1,h2,69,14,50,2.34
S1,h2,70,10,59,2.33
S1,h2,70,4,40,0.92
S2,h3,1,17,42,1.98
S2,h3,2,21.5,36,1.82
S2,h3,3,18,41,1.99
S2,h3,4,18,41,1.99
S2,h3,5,15.5,40,1.63
S2,h3,6,13,31,1.11
S2,h3,7,16,37,1.43
S2,h3,8,19,35,1.52
S2,h3,9,9.5,50,1.59
S2,h3,9,7,34,0.53
S2,h3,9,5,32,0.33
S2,h3,10,6,27,0.28
S2,h3,10,10,40,1.05
S2,h3,11,13,41,1.44
S2,h3,12,17,43,2.07
S2,h3,13,21,42,2.45
S2,h3,14,16,29,0.86
S2,h3,15,6.5,45,0.88
S2,h3,16,11,60,2.66
S2,h3,17,15,40,1.58
S2,h3,18,18,45,2.42
S2,h3,19,19,37,1.7
S2,h3,20,19,32,1.26
S2,h3,21,10.5,28,0.52
S2,h3,22,4,33,0.28
S2,h3,22,10,44,1.28
S2,h3,23,17,51,2.95
S2,h3,24,4,39,0.4
S2,h3,24,14,57,3.04
S2,h3,25,20,40,2.1
S2,h3,26,20,42,2.33
S2,h3,27,16.5,49,2.57
S2,h3,28,16.5,24,0.59
